Chamber,Center,Normalized Intensity,Unnormalized Intensity,Background Intensity
159,"(278, 668)",604.628197014493,599.5061728395061,622
160,"(228, 668)",604.9021224744255,599.7777777777778,622
161,"(225, 706)",602.6235606940784,597.5185185185185,622
162,"(275, 706)",601.4475363742557,602.0617283950618,628
163,"(326, 707)",605.8874468279381,606.5061728395061,628
164,"(377, 707)",612.9194130371126,612.5679012345679,627
165,"(427, 708)",611.5754838618267,617.1234567901234,633
166,"(478, 708)",610.2251394044729,620.7530864197531,638
167,"(529, 709)",607.3752223702066,619.8641975308642,640
168,"(579, 709)",608.1101224492367,624.679012345679,644
169,"(630, 710)",610.2373481191811,626.8641975308642,644
170,"(681, 710)",608.1388912503425,628.8271604938271,648
171,"(731, 711)",611.9834131504624,632.8024691358024,648
172,"(782, 711)",607.7352180881043,632.5802469135803,652
173,"(833, 712)",612.2203550996377,628.9012345679013,644
174,"(883, 712)",609.828123179713,625.4197530864197,643
175,"(934, 713)",614.6760321913345,626.2962962962963,639
176,"(985, 713)",610.8471808967855,622.395061728395,639
178,"(1086, 714)",619.4729235739181,616.1728395061729,624
179,"(1137, 715)",616.6186614651717,611.395061728395,622
180,"(1188, 716)",621.3759457621354,609.3703703703703,615
181,"(1192, 760)",618.4920796848877,608.4444444444445,617
182,"(1141, 759)",619.7044026939462,612.5185185185185,620
183,"(1090, 758)",622.7467734673379,623.3827160493827,628
184,"(1039, 757)",617.7417679730228,623.3456790123457,633
185,"(989, 757)",621.4697497803849,630.1481481481482,636
186,"(938, 756)",619.5205493685473,632.2592592592592,640
187,"(887, 755)",627.1557803659309,635.9135802469136,636
188,"(836, 754)",619.7027040217127,638.679012345679,646
189,"(786, 754)",619.8634890948077,640.9506172839506,648
190,"(735, 753)",624.7945063145269,646.0493827160494,648
191,"(684, 752)",624.6202735507759,642.6913580246913,645
192,"(633, 751)",626.7545190348898,639.641975308642,640
193,"(583, 751)",624.0763127320128,638.9876543209876,642
194,"(532, 750)",625.0851414195799,637.9382716049382,640
195,"(481, 749)",620.2725652627039,637.1728395061729,644
196,"(430, 748)",620.273909716909,632.0,639
197,"(380, 748)",622.2302873731506,629.9012345679013,635
198,"(329, 747)",622.6780961017125,622.320987654321,627
199,"(278, 746)",623.7814159905039,622.4320987654321,626
200,"(228, 745)",621.1236929354756,617.8148148148148,624
